Semana,Hora Rutura,Hora da rutura,Seção,Tipo de requisição,OT,REQ,Tipo Produto,Nº Produto,Descrição,Qtd. Req.,Qtd. Env.,Qtd. Falta,Un. Med,Data, Stock CT, Stock FF,Em trânsito da FF,Tipologia Rutura,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,TSU - EK,EXTRA,OT25024051,EXTRA,Congelados,PIEK0102,PENNE WITH BEEF BOLOGNESE - BC,10,4,6,#N/A,4/1/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA,NORMAL,OT25019061,463417,Secos,AFPA0001,Pao ralado,"0,018",0,"0,018",KG,4/1/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA,NORMAL,OT25019061,463417,Refrigerados,BQMI0031,QJO MISTURA E PIMENTÃO,"7,269",0,"7,269",#N/A,4/1/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA,NORMAL,OT25019061,463417,Refrigerados,BQVA0032,Qjo vaca mimolete,"16,67",0,"16,67",KG,4/1/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA,NORMAL,OT25019061,463417,Refrigerados,BQVA0042,Qjo parmesao,"1,182",0,"1,182",KG,4/1/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA,NORMAL,OT25019061,463417,Refrigerados,BQVN0003,VIOLIFE CHEDDAR BARRA,"0,084",0,"0,084",KG,4/1/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Acerto de Inventário,COZINHA FRIA,NORMAL,OT25019069,463425,"F&V, Pão & Iogurtes",CVES0013,Espinafre baby lavado,"1,708",0,"1,708",KG,4/1/2025,"1,6",0,0,Acerto de Inventário,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA FRIA,NORMAL,OT25019080,463425,"F&V, Pão & Iogurtes",CVGE0003,Gengibre lavado,"0,082",0,"0,082",KG,4/1/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA QUENTE,NORMAL,OT25018966,463342,Refrigerados,BQVA0032,Qjo vaca mimolete,"5,335",0,"5,335",KG,4/1/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA QUENTE,NORMAL,OT25018950,463328,Refrigerados,BQVA0042,Qjo parmesao,"3,24",0,"3,24",KG,4/1/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA QUENTE - EK,NORMAL,OT25018884,463279,Secos,CSPI0003,Pistachio miolo,"0,024",0,"0,024",KG,4/1/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA QUENTE - EK,NORMAL,OT25018886,463281,Secos,CSPI0003,Pistachio miolo,"0,099",0,"0,099",KG,4/1/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,COZINHA QUENTE - EK,NORMAL,OT25018906,463278,Secos,CSPI0003,Pistachio miolo,"0,037",0,"0,037",KG,4/1/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,TSU.,NORMAL,OT25018984,463356,Secos,CFMA0030,STICKS MAÇÃ LIMÃO,73,0,73,#N/A,4/1/2025,0,0,0,Sem Stock Físico e BC,
abr.,Rutura 18h,Rutura 18h-Sem Stock Físico e BC,TSU.,NORMAL,OT25018986,463358,Secos,ACGE0002,Geleia morango p.v.30gr,193,0,193,UN,4/1/2025,0,0,0,Sem Stock Físico e BC,
